SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | Route | EAD_RTE_AR38_CAN | designator | AR38 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR4_CAN | designator | AR4 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR43_CAN | designator | AR43 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR5_NAM | designator | AR5 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR6_NAM | designator | AR6 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR7_CAN | designator | AR7 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR8_CAN | designator | AR8 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR8_NAM | designator | AR8 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_AR9_NAM | designator | AR9 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR10_CAN | designator | BR10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR10L_NAM | designator | BR10L | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR16_CAN | designator | BR16 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR18_CAN | designator | BR18 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR1L_NAM | designator | BR1L | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR20_CAN | designator | BR20 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR21V_NAM | designator | BR21V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR22_CAN | designator | BR22 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR22V_NAM | designator | BR22V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR2L_NAM | designator | BR2L | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR3_CAN | designator | BR3 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR49V_NAM | designator | BR49V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR5_CAN | designator | BR5 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR53V_NAM | designator | BR53V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR54V_NAM | designator | BR54V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR55V_NAM | designator | BR55V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR57V_NAM | designator | BR57V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR58V_NAM | designator | BR58V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR62V_NAM | designator | BR62V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR63V_NAM | designator | BR63V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR64V_NAM | designator | BR64V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR65V_NAM | designator | BR65V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR68V_NAM | designator | BR68V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR69V_NAM | designator | BR69V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR7_CAN | designator | BR7 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR70_MY-MY | designator | BR70 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR71V_NAM | designator | BR71V | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR84_CAN | designator | BR84 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR9_CAN | designator | BR9 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_BR9L_NAM | designator | BR9L | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_CR09_SO-SO | designator | CR09 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_CR10_SO-SO | designator | CR10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_CR11_SO-SB | designator | CR11 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_CR12_GO-SO | designator | CR12 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_CR13_SO-SO | designator | CR13 | desene_uymayan_kod_name_alanina_yazildi
