tablo,fid,code_id,data_originator,name,lat_dd,lon_dd,mid
dp_icao,1814,ANPAN,EUROCONTROL NMOC,ANPAN,33.41876111111111,133.84681111111112,1090518886
dp_icao,1815,ANPAN,EUROCONTROL NMOC,ANPAN,8.854330555555554,97.62234722222222,400002169634400
dp_adhp,415,ANTON,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,ANTON,14.586666666666668,121.44500000000001,400003386230325
dp_icao,1852,ANTON,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,ANTON,14.586944444444445,121.44500000000001,400005079751168
dp_adhp,7728,ANTON,EUROCONTROL NMOC,ANTON,-1.3660861111111111,36.86369444444445,400002430708122
dp_icao,33666,ANTON,EUROCONTROL NMOC,ANTON,38.45141944444445,-97.49783333333333,17872876
dp_icao,1859,ANVIX,EUROCONTROL NMOC,ANVIX,24.781944444444445,55.937777777777775,19181206
dp_icao,117306,ANVIX,EUROCONTROL NMOC,ANVIX,-1.7439472222222223,53.56009722222222,17815420
dp_icao,1861,ANZAC,EUROCONTROL NMOC,ANZAC,34.84133888888889,139.69630833333335,400004193670929
dp_icao,117314,ANZAC,EUROCONTROL NMOC,ANZAC,-22.74638888888889,135.8238888888889,17865782
dp_other,1272,AP1,BUNDESWEHR,NORTHSEA AP 1,54.72847989,7.30080075,400003246195646
dp_other,1278,AP1,BUNDESWEHR,LILLY AP 1,53.66285233,8.75355633,400004827297906
dp_other,1281,AP1,BUNDESWEHR,SANDRA AP1,52.87232636,8.36300542,400005714772585
dp_other,1266,AP1,EUROCONTROL NMOC,ANGIE AP 1,48.52484225,8.36322175,400003246195574
dp_other,1267,AP1,EUROCONTROL NMOC,GRETCHEN AP 1,48.06653089,10.36609917,400003246195586
dp_other,1268,AP1,EUROCONTROL NMOC,GRETCHEN LOW AP 1,48.32762642,10.62340022,400003246195598
dp_other,1269,AP1,EUROCONTROL NMOC,JOJO AP 1,51.6641305,6.60637283,400003246195610
dp_other,1270,AP1,EUROCONTROL NMOC,KIM LONG AP 1,54.10296997,9.73021519,400003246195622
dp_other,1271,AP1,EUROCONTROL NMOC,KIM SHORT AP 1,54.10434472,9.73192956,400003246195634
dp_other,1273,AP1,EUROCONTROL NMOC,SAXON AP 1,50.98314678,12.78908761,400003246195673
dp_other,1274,AP1,EUROCONTROL NMOC,VIRGIN AP 1,49.32317881,7.88890808,400003246195700
dp_other,1275,AP1,EUROCONTROL NMOC,JANIN AP 1,54.08703847,12.90063533,400003246195712
dp_other,1276,AP1,EUROCONTROL NMOC,TINA AP 1,53.81403789,13.54148833,400003246195724
dp_other,1277,AP1,EUROCONTROL NMOC,MERLE AP 1,53.95489511,12.02660764,400003246195736
dp_other,1279,AP1,EUROCONTROL NMOC,NELE AP 1,54.32344422,13.57053742,400005111861420
dp_other,1280,AP1,EUROCONTROL NMOC,LUCA AP1,49.64411969,7.94404164,400005509370433
dp_other,1287,AP2,BUNDESWEHR,NORTHSEA AP 2,54.21472547,6.73054947,400003246195652
dp_other,1294,AP2,BUNDESWEHR,LILLY AP 2,53.69424542,7.82721039,400004827297891
dp_other,1297,AP2,BUNDESWEHR,SANDRA AP2,52.63215756,7.4849645,400005714772567
dp_other,1282,AP2,EUROCONTROL NMOC,GRETCHEN AP 2,48.62284536,10.20748219,400003246195592
dp_other,1283,AP2,EUROCONTROL NMOC,GRETCHEN LOW AP 2,48.15073378,9.75531839,400003246195604
