code_id,data_originator,adet,farkli_koordinat,tablolar,isimler
RW24,EUROCONTROL NMOC,8,8,dp_other,"MAPT RWY 24,MAPT RNAV (GPS) RWY24,THR RW 24,MAPT LOC RWY24 0.2 DME IAMW / 1.0 DME ALD,RW24"
RW29,EUROCONTROL NMOC,8,8,dp_other,"RW29,MAPT RW29,RWY29 MAPT"
RW32,EUROCONTROL NMOC,8,8,dp_other,"RW32,MAPT"
OSCAR,DFS DEUTSCHE FLUGSICHERUNG GMBH,7,7,dp_other,"EDDN OSCAR,EDDS OSCAR,EDMA OSCAR 1,EDMA OSCAR 2,EDNY OSCAR,EDTL OSCAR 1,EDTL OSCAR 2"
RW25,EUROCONTROL NMOC,7,7,dp_other,"MAPT RW25 RNAV/GPS,MAWP RNAV (GPS) RWY 25,RW25,MAPT RW25,THR RWY 25/MAPT"
HS1,AIRWAYS CORPORATION OF NEW ZEALAND LTD,6,6,dp_other,HOT SPOT 1
KILO,DFS DEUTSCHE FLUGSICHERUNG GMBH,6,6,dp_other,"EDFM KILO,EDLN KILO 2,EDLN KILO 1,EDDK KILO 2,EDDK KILO 1,EDLP KILO"
LIMA,DFS DEUTSCHE FLUGSICHERUNG GMBH,6,6,dp_other,"EDDF LIMA,EDDS LIMA,EDDV LIMA,EDHL LIMA,EDMA LIMA,EDXW LIMA"
MAG,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,6,6,dp_other,"MAGSAYSAY,MAGALLANES,MAGUINDA,MAGALONA PORT"
RW10,EUROCONTROL NMOC,6,6,dp_other,"MAWP,RW10"
RW18,EUROCONTROL NMOC,6,6,dp_other,"RW18,THR 18"
RW36,EUROCONTROL NMOC,6,6,dp_other,"MAPT GPS RWY36,RW36"
DUM,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,5,5,dp_other,"DUMAGUIT PORT,DUMALAG,DUMARAO,DUMANGAS,DUMANPALIT ISLAND"
HOTEL,DFS DEUTSCHE FLUGSICHERUNG GMBH,5,5,dp_other,"EDDM HOTEL 1,EDDM HOTEL 2,EDOY HOTEL,EDXW HOTEL,EDLP HOTEL"
MA31,NAV CANADA,5,5,dp_adhp,"YZP129000,UAB292006,VLN137017,MA31"
RW04,EUROCONTROL NMOC,5,5,dp_other,"MAPT GPS APCH RWY04,MAPT RWY04,MAPT,RW04"
RW05,EUROCONTROL NMOC,5,5,dp_other,"RW05,MAPT,FTP/LTP"
RW07,EUROCONTROL NMOC,5,5,dp_other,"THR RWY 07/MAPT,MAWP RNAV (GPS) RWY 07,RW07"
RW11,EUROCONTROL NMOC,5,5,dp_other,"RW11,RWY11 MAPT,RWY11"
RW22,EUROCONTROL NMOC,5,5,dp_other,"MAPT RW22,MAPT GPS APCH RWY22,MAPT RWY22,MAPT,RW22"
RW28,EUROCONTROL NMOC,5,5,dp_other,"MAWP,RW28"
ARC09,NAV CANADA,4,4,dp_adhp,ARC09
ARC10,NAV CANADA,4,4,dp_adhp,ARC10
BAL,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,4,4,dp_other,"BALASAN,BALARING,BALETE,BALIANGAO"
FF13,NAV CANADA,4,4,dp_adhp,"YGL317005,YJQ286004,YRT301005,YCB308005"
FF23,NAV CANADA,4,4,dp_adhp,"YRQ067005,4G057005,YVV226005,FF23"
FF26,NAV CANADA,4,4,dp_adhp,"YLL084005,UYR084001,YRL076005,YPA072005"
K,AUSTRO CONTROL GMBH,4,4,dp_other,"K (LOAV),KILO (LOWL),K (LOIH),KILO (LOWI)"
MA08,NAV CANADA,4,4,dp_adhp,"UZX089001,UZX260001,YPA265001,ITZ265001"
MA12,NAV CANADA,4,4,dp_adhp,"MA12,UZX288001,UQQ311001,YUX294004"
MA16,NAV CANADA,4,4,dp_adhp,"XC344002,MA16,ILW339002"
MA26,NAV CANADA,4,4,"dp_icao,dp_adhp","UZX255001,IGV083001,YPA072000,UZX026001"
