tablo,fid,ident,data_originator,name,lat_dd,lon_dd
tacan,36,BAR,EUROCONTROL NMOC,BARDUFOSS,69.04569264,18.58639639
vor_dme,1247,BAR,EUROCONTROL NMOC,SAN CARLOS DE BARILOCHE,-41.140277777777776,-71.18902777777778
tacan,220,BAT,DHMI TURKIYE,BATMAN,37.91536111111111,41.10552777777778
vor_dme,929,BAT,DHMI TURKIYE,BATMAN,37.93797222222222,41.11961111111111
dme,741,BBI,EUROCONTROL NMOC,BELLARY,15.165339722222223,76.88018583333333
vor_dme,931,BBI,EUROCONTROL NMOC,BELLARY,15.165368611111111,76.88011138888888
vor_dme,2282,BBI,EUROCONTROL NMOC,BERLIN-BRANDENBURG,52.34201408,13.45404739
dme,742,BBS,EUROCONTROL NMOC,BHUBANESWAR,20.24422777777778,85.81301111111111
vor_dme,116,BBS,EUROCONTROL NMOC,BENI ABBES,30.023777777777777,-2.230638888888889
vor_dme,935,BBS,EUROCONTROL NMOC,BHUBANESWAR,20.24422777777778,85.81301111111111
ils_dme,61,BC,CIVIL AVIATION AUTHORITY ISRAEL,,32.01241666666667,34.86419444444444
ils_gp,80,BC,CIVIL AVIATION AUTHORITY ISRAEL,,32.01241666666667,34.86419444444444
ils_loc,81,BC,CIVIL AVIATION AUTHORITY ISRAEL,,32.01905555555555,34.901444444444444
ils_dme,233,BCA,ENAIRE,,41.305499999999995,2.0997500000000002
ils_gp,289,BCA,ENAIRE,,41.305499999999995,2.0997500000000002
ils_loc,300,BCA,ENAIRE,,41.29219444444444,2.0641944444444444
ils_dme,68,BD,CIVIL AVIATION AUTHORITY ISRAEL,,32.00233333333333,34.89208333333333
ils_gp,89,BD,CIVIL AVIATION AUTHORITY ISRAEL,,32.00233333333333,34.89208333333333
ils_loc,91,BD,CIVIL AVIATION AUTHORITY ISRAEL,,32.01566111111111,34.86400277777778
dme,85,BD,EUROCONTROL NMOC,BODO,67.27245725,14.39135006
vor_dme,117,BD,EUROCONTROL NMOC,BOBO-DIOULASSO,11.14503611111111,-4.3508555555555555
dme,949,BDA,EUROCONTROL NMOC,BIDA,9.102138888888888,6.017527777777778
vor_dme,1564,BDA,EUROCONTROL NMOC,BERMUDA,32.36438611111111,-64.68957222222222
vor_dme,2028,BDA,EUROCONTROL NMOC,BIDA,9.102138888888888,6.017527777777778
dme,1273,BDB,EUROCONTROL NMOC,BIR DARB,24.330833333333334,41.824444444444445
vor_dme,936,BDB,EUROCONTROL NMOC,BIR DARB,24.330833333333334,41.824444444444445
vor_dme,2438,BDB,EUROCONTROL NMOC,BODAYBO,57.87388888888889,114.23222222222222
vortac,14,BDF,EUROCONTROL NMOC,BARDUFOSS,69.06487719,18.46626831
vortac,137,BDF,EUROCONTROL NMOC,BRADFORD,41.159731388888886,-89.58787305555555
dme,743,BDR,EUROCONTROL NMOC,BIDAR,17.904999999999998,77.48222222222222
vor_dme,2127,BDR,EUROCONTROL NMOC,BAHIR DAR,11.606416666666666,37.31721666666667
vor_dme,2600,BDR,EUROCONTROL NMOC,BIDAR,17.904999999999998,77.48222222222222
dme,923,BEL,EUROCONTROL NMOC,BELLA,55.7912361,12.0957611
dme,1448,BEL,EUROCONTROL NMOC,BELFAST,54.661144444444446,-6.229905555555556
vor_dme,530,BEL,EUROCONTROL NMOC,BELFAST,54.661144444444446,-6.229905555555556
vor_dme,1249,BEL,EUROCONTROL NMOC,BELEM,-1.3843611111111112,-48.47855555555556
dme,1449,BEN,EUROCONTROL NMOC,BENBECULA,57.47793611111111,-7.3652999999999995
vor_dme,531,BEN,EUROCONTROL NMOC,BENBECULA,57.47793611111111,-7.3652999999999995
vor_dme,2027,BEN,EUROCONTROL NMOC,BENIN,6.2836388888888886,5.557944444444444
dme,1414,BET,EUROCONTROL NMOC,BETONG,5.785466666666666,101.14406944444445
vortac,33,BET,EUROCONTROL NMOC,BETHEL,60.78483694444444,-161.82432972222222
vortac,508,BET,EUROCONTROL NMOC,BETONG,5.785466666666666,101.14406944444445
dme,88,BF,EUROCONTROL NMOC,BARDUFOSS,69.0522435,18.56174297
vor_dme,118,BF,EUROCONTROL NMOC,BAFOUSSAM,5.534927777777778,10.354277777777778
ils_dme,59,BG,CIVIL AVIATION AUTHORITY ISRAEL,,32.011808333333335,34.868991666666666
ils_gp,78,BG,CIVIL AVIATION AUTHORITY ISRAEL,,32.011808333333335,34.868991666666666
ils_loc,79,BG,CIVIL AVIATION AUTHORITY ISRAEL,,31.998572222222222,34.896877777777775
dme,89,BG,EUROCONTROL NMOC,BERGEN/FLESLAND,60.28553489,5.21922789
dme,1137,BG,EUROCONTROL NMOC,BOGORODSKOYE,52.37888888888889,140.44583333333333
dme,1138,BG,EUROCONTROL NMOC,BELAYA GORA,68.55361111111111,146.22722222222222
dme,790,BGD,EUROCONTROL NMOC,BAGHDAD,33.29211111111111,44.22544444444445
vor_dme,1958,BGD,EUROCONTROL NMOC,BAGHDAD,33.29211111111111,44.22544444444445
vor_dme,2509,BGD,EUROCONTROL NMOC,BAGDOGRA,26.688333333333333,88.3261111111111
dme,901,BGR,EUROCONTROL NMOC,BENGUERIR,32.157777777777774,-7.880833333333334
vortac,141,BGR,EUROCONTROL NMOC,BANGOR,44.841795000000005,-68.87396527777777
vortac,493,BGR,EUROCONTROL NMOC,BENGUERIR,32.157777777777774,-7.880833333333334
dme,191,BGS,EUROCONTROL NMOC,BARRA DO GARCAS,-15.85600761111111,-52.38941616666666
vor_dme,2629,BGS,EUROCONTROL NMOC,NIZHNEKAMSK/BEGISHEVO,55.562749999999994,52.08430555555556
ils_dme,168,BHS,BHANSA (ANSP),,43.82942222222223,18.3218
ils_gp,223,BHS,BHANSA (ANSP),,43.82942222222223,18.3218
ils_loc,227,BHS,BHANSA (ANSP),,43.81845277777778,18.34782222222222
dme,962,BIA,EUROCONTROL NMOC,LEGNICA,51.29310522,15.92206697
vor_dme,2125,BIA,EUROCONTROL NMOC,BENGALURU,13.209141666666666,77.69468611111111
dme,950,BIK,EUROCONTROL NMOC,BIRNIN KEBBI,12.490916666666665,4.3901111111111115
vor_dme,1429,BIK,EUROCONTROL NMOC,BIAK/FRANS KAISIEPO,-1.1824722222222224,136.0861388888889
vor_dme,2380,BIK,EUROCONTROL NMOC,BIRNIN KEBBI,12.490916666666665,4.3901111111111115
dme,348,BIL,EUROCONTROL NMOC,BILLUND,55.7413167,9.1391194
