ident,data_originator,adet,farkli_koordinat,tablolar,isimler
SL,EUROCONTROL NMOC,4,4,dme,"STAVANGER/SOLA,LINKOEPING/SAAB,SUKHODOL,SREDNEBELAYA"
SPA,EUROCONTROL NMOC,4,4,"vortac,dme,tacan","SPARTANBURG,SLEIPNER A,LULEA,SPANGDAHLEM"
TCL,EUROCONTROL NMOC,4,3,"vortac,dme","TUSCALOOSA,TACHILEIK,TOSONTSENGEL"
TU,EUROCONTROL NMOC,4,3,"vor_dme,dme","TOLIARY,TURBAT,TURKU"
VSA,EUROCONTROL NMOC,4,3,"vor_dme,dme","VILLAHERMOSA,SAURIMO,VITORIA DE SANTO ANTAO"
ABA,EUROCONTROL NMOC,3,3,"vor_dme,dme","ARUBA,AMSTERDAM/SCHIPHOL,ALBANY"
ABD,EUROCONTROL NMOC,3,2,"vor_dme,dme","ABADAN,MALANG / ABDUL RACHMAN SALEH"
ADM,EUROCONTROL NMOC,3,2,"vortac,dme","AGADIR / AL MASSIRA,ARDMORE"
ADN,EUROCONTROL NMOC,3,2,"vor_dme,dme","ABERDEEN,ROBERTO"
ALB,EUROCONTROL NMOC,3,2,"vor_dme,dme","ALBENGA,ABU DHABI / AL BATEEN"
ANU,EUROCONTROL NMOC,3,2,"vor_dme,dme","V.C. BIRD,ANAMBRA"
ARD,EUROCONTROL NMOC,3,2,"vor_dme,dme","YARDLEY,ARADAH"
ARG,EUROCONTROL NMOC,3,3,"vortac,dme","ARGYLE,WALNUT RIDGE"
ARI,EUROCONTROL NMOC,3,2,"vor_dme,dme","NADOR / EL AROUI,ARICA"
AS,EUROCONTROL NMOC,3,3,"vor_dme,dme","AGADEZ / MANO DAYAK,ALICE SPRINGS,AASIAAT"
AST,EUROCONTROL NMOC,3,2,"vor_dme,dme","ASYUT,ASTRAKHAN"
AVS,ENAIRE,3,3,"ils_loc,ils_gp,ils_dme",
BA,CIVIL AVIATION AUTHORITY ISRAEL,3,2,"ils_loc,ils_gp,ils_dme",
BAL,BHANSA (ANSP),3,2,"ils_loc,ils_gp,ils_dme",
BAL,EUROCONTROL NMOC,3,2,"vor_dme,dme","BALMACEDA,B.A EL LIBERTADOR"
BAM,EUROCONTROL NMOC,3,2,"vor_dme,dme","BARMEN,BAM"
BAN,EUROCONTROL NMOC,3,3,"vor_dme,dme","SIDI BEN AOUN,BARNAUL/MIKHAYLOVKA,BARAHONA"
BBI,EUROCONTROL NMOC,3,3,"vor_dme,dme","BELLARY,BERLIN-BRANDENBURG"
BBS,EUROCONTROL NMOC,3,2,"vor_dme,dme","BENI ABBES,BHUBANESWAR"
BC,CIVIL AVIATION AUTHORITY ISRAEL,3,2,"ils_loc,ils_gp,ils_dme",
BCA,ENAIRE,3,2,"ils_loc,ils_gp,ils_dme",
BD,CIVIL AVIATION AUTHORITY ISRAEL,3,2,"ils_loc,ils_gp,ils_dme",
BDA,EUROCONTROL NMOC,3,2,"vor_dme,dme","BERMUDA,BIDA"
BDB,EUROCONTROL NMOC,3,2,"vor_dme,dme","BIR DARB,BODAYBO"
BDR,EUROCONTROL NMOC,3,2,"vor_dme,dme","BAHIR DAR,BIDAR"
BEN,EUROCONTROL NMOC,3,2,"vor_dme,dme","BENBECULA,BENIN"
BET,EUROCONTROL NMOC,3,2,"vortac,dme","BETHEL,BETONG"
BG,CIVIL AVIATION AUTHORITY ISRAEL,3,2,"ils_loc,ils_gp,ils_dme",
BG,EUROCONTROL NMOC,3,3,dme,"BERGEN/FLESLAND,BOGORODSKOYE,BELAYA GORA"
BGD,EUROCONTROL NMOC,3,2,"vor_dme,dme","BAGHDAD,BAGDOGRA"
BGR,EUROCONTROL NMOC,3,2,"vortac,dme","BANGOR,BENGUERIR"
BHS,BHANSA (ANSP),3,2,"ils_loc,ils_gp,ils_dme",
